"Inglés","Español"
"Pumpkin Risotto (Risotto Di Zucca)","Risotto de Calabaza (Risotto Di Zucca)"
"Pumpkin Seed Cluster Snack Mix","Mix de Snack con Clúster de Semillas de Calabaza"
"Quick & Easy Cheese Dip","Dip de Queso Rápido y Fácil"
"Quick Herb-Tomato Soup","Sopa Rápida de Hierbas y Tomate"
"Quinoa, Arugula, and Apricot Salad","Ensalada de Quinoa, Rúcula y Albaricoque"
"Quinoa Cakes","Pasteles de Quinoa"
"Quinoa Dessert Pudding","Pudín de Quinoa para Postre"
"Quinoa Fried Rice with Bok Choy, Shishitos & Carrots","Arroz Frito de Quinoa con Bok Choy, Shishitos y Zanahorias"
"Quinoa Tabbouleh","Tabbouleh de Quinoa"
"Radish & Watermelon Arugula Salad","Ensalada de Rábano, Sandía y Rúcula"
"Radish Toasts with Goat Cheese & Chives","Tostadas de Rábano con Queso de Cabra y Cebollín"
"Raspberry Swirl Frozen Yogurt Bark","Tira de Yogur Congelado con Remolino de Frambuesa"
"Ratatouille","Ratatouille"
"Red Lentil Dal with Jicama \"Chips\"","Dal de Lentejas Rojas con \"Chips\" de Jícama"
"Red Onion Green Beans","Judías Verdes con Cebolla Roja"
"Red Pepper Quinoa","Quinoa con Pimiento Rojo"
"Red Quinoa and Farro","Quinoa Roja y Farro"
"Ricotta, Grilled Eggplant, and Fresh Mint Bruschetta (Bruschetta Calabrese)","Bruschetta de Ricotta, Berenjena a la Parrilla y Menta Fresca (Bruschetta Calabrese)"
"Ricotta and Blackberry Jam Crostini","Crostini de Ricotta y Mermelada de Mora"
"Rigatoni With Sun-Dried Tomatoes, Pesto, And Olives","Rigatoni con Tomates Secos, Pesto y Aceitunas"
"Roasted and Spiced Chickpeas","Garbanzos Asados y Especiados"
"Roasted Asparagus Salad","Ensalada de Espárragos Asados"
"Roasted Asparagus with Parmesan","Espárragos Asados con Parmesano"
"Roasted Baby Carrots","Zanahorias Baby Asadas"
"Roasted Beet, Apple and Queso Fresco Salad","Ensalada de Remolacha Asada, Manzana y Queso Fresco"
"Roasted Beet, Tahini, and Greek Yogurt Dip","Dip de Remolacha Asada, Tahini y Yogur Griego"
"Roasted Beets with Lemon and Dill","Remolachas Asadas con Limón y Eneldo"
"Roasted Broccoli & Fregola Sarda with Hard-Boiled Eggs & Tahini Dressing","Brócoli Asado y Fregola Sarda con Huevos Duros y Aderezo de Tahini"
"Roasted Brussels Sprouts and Butternut Squash","Coles de Bruselas y Calabaza Butternut Asadas"
"Roasted Brussels Sprouts With Honey Mustard","Coles de Bruselas Asadas con Miel y Mostaza"
"Roasted Cabbage Steaks","Bistecs de Repollo Asados"
"Roasted Cauliflower, Onions, And Sweet Potatoes","Coliflor, Cebollas y Batatas Asadas"
"Roasted Cauliflower","Coliflor Asada"
"Roasted Cauliflower Steaks & Kale Farro with Grape, Mustard & Thyme Pan Sauce","Bistecs de Coliflor Asados y Farro con Kale con Salsa de Uva, Mostaza y Tomillo"
"Roasted Cherry Tomatoes with Rosemary & Garlic","Tomates Cherry Asados con Romero y Ajo"
"Roasted Fall Vegetables","Verduras de Otoño Asadas"
"Roasted Greek Eggplant with Feta","Berenjena Griega Asada con Feta"
"Roasted Green Beans in Champagne Vinaigrette","Judías Verdes Asadas con Vinagreta de Champagne"
"Roasted Indian Cauliflower Tossed With Chickpeas And Cashews","Coliflor India Asada con Garbanzos y Anacardos"
"Roasted Pear Sauce","Salsa de Pera Asada"
"Roasted Pepper Pizza","Pizza de Pimiento Asado"
"Roasted Pepper Salad","Ensalada de Pimientos Asados"
"Roasted Pineapple Salsa","Salsa de Piña Asada"
"Roasted Potatoes, Carrots and Parsnips","Patatas, Zanahorias y Chirivías Asadas"
"Roasted Radishes","Rábanos Asados"
"Roasted Rainbow Carrots","Zanahorias Arcoíris Asadas"
"Roasted Red Pepper Coulis","Coulis de Pimiento Rojo Asado"
"Roasted Red Pepper Tomato Sauce","Salsa de Tomate y Pimiento Rojo Asado"
"Roasted Root Vegetable Soup","Sopa de Verduras de Raíz Asadas"
"Roasted Stuffed Artichokes","Alcachofas Rellenas Asadas"
"Roasted Sweet Potatoes with Lemon-Dill Yogurt Sauce","Batatas Asadas con Salsa de Yogur, Limón y Eneldo"
"Roasted Vegetables","Verduras Asadas"
"Roasted Vegetable Enchilada Bake","Horno de Enchiladas de Verduras Asadas"
"Roasted Veggie Pizza on Phyllo Crust","Pizza de Verduras Asadas sobre Corteza de Phyllo"
"Roasted Veggie Strata","Strata de Verduras Asadas"
"Roasted Winter Vegetables","Verduras de Invierno Asadas"
"Romaine Lettuce","Lechuga Romana"
"Ronaldo's Apple Pie","Pastel de Manzana de Ronaldo"
"Rustic Red Potatoes and Green Beans","Patatas Rojas y Judías Verdes Rústicas"
"Salad Bar Gazpacho Salad","Ensalada de Gazpacho para Barra de Ensaladas"
"Salad Greens with Spiced Pecans","Verduras para Ensalada con Pacanas Especiadas"
"Salmon and Asparagus Gremolata","Gremolata de Salmón y Espárragos"
"Salmon Quinoa Risotto","Risotto de Quinoa con Salmón"
"Salmon with Mango and Peach Salsa","Salmón con Salsa de Mango y Durazno"
"Satay Zucchini Noodles","Tallarines de Calabacín Satay"
"Sauteed Baby Spinach With Currants and Pine Nuts","Espinacas Baby Salteadas con Grosellas y Piñones"
"Sautéed Asparagus, Peppers and Mushrooms","Espárragos, Pimientos y Champiñones Salteados"
"Sautéed Cinnamon Apples","Manzanas con Canela Salteadas"
"Sautéed Thyme Mushrooms","Champiñones Salteados con Tomillo"
"Savory Asparagus Custards","Flanes Salados de Espárragos"
"Savory Cauliflower and Cheesy Cakes","Pasteles Salados de Coliflor y Queso"
"Savory Mediterranean Oats","Avena Mediterránea Salada"
"Savory Stuffed Pumpkins","Calabazas Rellenas Saladas"
"Savory Tzatziki-Style Greek Yogurt","Yogur Griego Estilo Tzatziki Salado"
"Scalloped Potatoes","Patatas Gratinadas"
"Seasonal Heirloom Tomato Salad","Ensalada de Tomates Herencia de Temporada"
"Shakshuka","Shakshuka"
"Shakshuka with Red Peppers and Goat Cheese","Shakshuka con Pimientos Rojos y Queso de Cabra"
"Shaved Asparagus, Radish and Parmesan Salad","Ensalada de Espárragos Rallados, Rábano y Parmesano"
"Sheet Pan Salmon and Green Beans","Salmón y Judías Verdes al Horno en Bandeja"
"Sheet Pan Zucchini and Red Pepper \"Stir-Fry\"","Salteado de Calabacín y Pimiento Rojo al Horno en Bandeja"
"Shrimp Ceviche","Ceviche de Camarones"
"Side Greek Salad with Red Wine Vinaigrette","Ensalada Griega de Acompañamiento con Vinagreta de Vino Tinto"
"Simple Brown Rice with Scallions","Arroz Integral Simple con Cebolletas"
"Simple Roasted Cauliflower","Coliflor Asada Simple"
"Simple Roasted Peppers","Pimientos Asados Simples"
"Simple Side Salad with Balsamic Vinaigrette","Ensalada de Acompañamiento Simple con Vinagreta de Balsámico"
"Simple Summer Cucumber and Tomato Salad","Ensalada Simple de Pepino y Tomate de Verano"
"Skillet Caraway Cornbread","Pan de Maíz con Alcaravea en Sartén"
"Slow-Cooker Ratatouille with White Beans","Ratatouille en Slow-Cooker con Frijoles Blancos"
"Smoked Paprika Beans with Rosemary & Olives","Frijoles con Pimentón Ahumado, Romero y Aceitunas"
"Smoked Salmon & Cucumber Bites","Bocaditos de Salmón Ahumado y Pepino"
"Smoky Mushrooms","Champiñones Ahumados"
"Smoky White Beans and Spinach","Frijoles Blancos Ahumados y Espinacas"
"Smoothie Breakfast Bowl","Tazón de Desayuno con Batido"
"Socca With Poached Eggs, Roasted Tomatoes, And Fresh Basil","Socca con Huevos Escalfados, Tomates Asados y Albahaca Fresca"
"Southern Broccoli Salad","Ensalada de Brócoli Sureña"
"Southwestern Coleslaw","Ensalada de Coles del Suroeste"
"Spaghetti Squash Parmigiano","Calabaza Espagueti con Parmigiano"
"Spaghetti Squash with Light Marinara Sauce","Calabaza Espagueti con Salsa Marinara Ligera"
"Spaghetti Squash with Pine Nuts and Sage","Calabaza Espagueti con Piñones y Salvia"
"Sparkling Strawberry Mint Water","Agua con Gas, Fresa y Menta"
"Speedy Shakshuka","Shakshuka Rápida"
"Spiced Ginger Carrot Soup","Sopa de Zanahoria con Jengibre y Especias"
"Spiced Sweet Potato Casserole","Cazuela de Batata con Especias"
"Spicy Chipotle Tofu & Rice Bowls with Avocado and Marinated Vegetables","Tazones de Tofu y Arroz con Chipotle Picante, Aguacate y Verduras Marinadas"
"Spinach, Avocado, and Summer Berry Salad","Ensalada de Espinaca, Aguacate y Frutas del Bosque de Verano"
"Spinach, Tomato and Feta Cheese Baked Egg","Huevo al Horno con Espinaca, Tomate y Queso Feta"
"Spinach and Artichoke Dip","Dip de Espinaca y Alcachofa"
"Spinach and Mushroom Quesadillas","Quesadillas de Espinaca y Champiñones"
"Spinach and Parmesan Egg Bites","Bocaditos de Huevo con Espinaca y Parmesano"
"Spinach and Sweet Potato Curry (Saag Aloo)","Curry de Espinaca y Batata (Saag Aloo)"
"Spinach Artichoke Stuffed Portobellos","Portobellos Rellenos de Espinaca y Alcachofa"
"Spinach Salad with Goat Cheese & Beets","Ensalada de Espinaca con Queso de Cabra y Remolacha"
"Spinach Sautéed in Garlic and Oil","Espinacas Salteadas en Ajo y Aceite"
"Spinach Yogurt Dip","Dip de Yogur con Espinaca"
"Spring Vegetable Salad with Tomato Vinaigrette","Ensalada de Verduras de Primavera con Vinagreta de Tomate"
"Stir-Fried Vegetables & Freekeh with Eggs & Gochujang Honey Drizzle","Verduras Salteadas y Freekeh con Huevos y Glaseado de Miel Gochujang"
"Strawberries With Balsamic Glaze, Black Pepper, and Tarragon","Fresas con Glaseado de Balsámico, Pimienta Negra y Estragón"
"Strawberry-Lemon Cheesecake","Cheesecake de Fresa y Limón"
"Strawberry Banana \"Ice Cream\"","Helado de Fresa y Banana"
"Strawberry Kiwi Spritzer","Spritzer de Fresa y Kiwi"
"Sugar Free Yogurt Parfait with Fresh Berries","Parfait de Yogur sin Azúcar con Frutas Frescas"
"Sugar Snap Pea and Soba Salad","Ensalada de Guisantes Dulces y Soba"
"Summer Fruit Smoothie","Batido de Frutas de Verano"
"Summer Peach and Corn Salad","Ensalada de Durazno y Maíz de Verano"
"Sun-Kissed Health Salad","Ensalada Saludable al Sol"
"Sunflower-Broccoli Layer Salad","Ensalada de Capas de Girasol y Brócoli"
"Sunny Fried Egg and Avocado Taco","Taco de Huevo Frito al Sol y Aguacate"
"Superfood Smoothie","Batido de Superalimentos"
"Super Foods Salad","Ensalada de Superalimentos"
"Sweet and Savory Baked Apples","Manzanas al Horno Dulces y Saladas"
"Sweet Glazed Spring Vegetables","Verduras de Primavera con Glaseado Dulce"
"Sweet Onion, White Bean and Artichoke Dip","Dip de Cebolla Dulce, Frijoles Blancos y Alcachofa"
"Sweet Onion Frittata with Ham","Frittata de Cebolla Dulce con Jamón"
"Sweet Potato and Black Bean Soup","Sopa de Batata y Frijoles Negros"
"Sweet Potato and Ginger Soup","Sopa de Batata y Jengibre"
"Sweet Potato Burrito Bowl","Tazón de Burrito de Batata"
"Sweet Potato Fries","Papas Fritas de Batata"
"\"Sweet\" Potato Fries","Papas Fritas de Batata \"Dulces\""
"Sweet Potato Masala","Masala de Batata"
"Sweet Southern Coleslaw","Ensalada de Coles Sureña Dulce"
"Sweet Sriracha Roasted Brussels Sprouts","Coles de Bruselas Asadas con Sriracha Dulce"
"Sweet Tart Raspberry Phyllo Bites","Bocaditos de Phyllo Dulce y Ácido con Frambuesa"
"Tarragon Tomatoes","Tomates con Estragón"
"Tex-Mex Shrimp Tacos","Tacos de Camarón Tex-Mex"
"Thanksgiving Green Beans with Cranberries and Hazelnuts","Judías Verdes de Acción de Gracias con Arándanos y Avellanas"
"Thanksgiving Winter Salad with Champagne Vinaigrette","Ensalada de Invierno de Acción de Gracias con Vinagreta de Champagne"
"Three-Minute Skillet Beans & Greens","Frijoles y Verduras en Sartén en Tres Minutos"
"Toasted Nut & Cranberry Trail Mix","Mix de Camino con Nueces Tostadas y Arándanos"
"Tofu and Vegetable Skewers","Brochetas de Tofu y Verduras"
"Tofu Bahn Mi Bowl","Tazón de Bahn Mi de Tofu"
"Tofu Spring Rolls","Rollitos de Primavera de Tofu"
"Tofu Stir Fry","Salteado de Tofu"
"Tomato & Sweet Onion Stovetop Okra","Okra en Sartén con Tomate y Cebolla Dulce"
"Tomato and Peach Salad","Ensalada de Tomate y Durazno"
"Tomato Basil Bisque","Bisque de Tomate y Albahaca"
"Trinidadian Curry Vegetables","Verduras al Curry Trinidadenses"
"Tropical Kale Quinoa Salad","Ensalada Tropical de Kale y Quinoa"
"Tuna Ceviche","Ceviche de Atún"
"Turkish Carrot Salad","Ensalada Turca de Zanahoria"
"Two-Bean Stew","Guiso de Dos Frijoles"
"Vegan Cinnamon Apples","Manzanas de Canela Veganas"
"Vegetable & Freekeh \"Fried Rice\" with Shishito Peppers and Peanuts","Arroz Frito de Verduras y Freekeh con Pimientos Shishito y Cacahuates"
"Vegetarian Baked Beans","Frijoles al Horno Vegetarianos"
"Vegetarian Kale Pasta","Pasta de Kale Vegetariana"
"Vegetarian Shepherd’s Pie","Pastel de Pastor Vegetariano"
"Vegetarian Tacos","Tacos Vegetarianos"
"Veggie Baked Ziti","Ziti al Horno con Verduras"
"Veggie Breakfast Wrap","Wrap de Desayuno con Verduras"
"Veggie Chili","Chili de Verduras"
"Veggie Dip Cups","Tazas de Dip de Verduras"
"Veggie Gumbo","Gumbo de Verduras"
"Veggie Spring Rolls with Peanut Sauce","Rollitos de Primavera de Verduras con Salsa de Cacahuate"
"Walnut Lentil Salad","Ensalada de Lentejas y Nuez"
"Watermelon, Arugula and Feta Salad","Ensalada de Sandía, Rúcula y Feta"
"Watermelon and Tomato Salad","Ensalada de Sandía y Tomate"
"Watermelon Gazpacho","Gazpacho de Sandía"
"Watermelon Lime Slushie","Granizado de Sandía y Lima"
"Watermelon Quinoa Salad","Ensalada de Quinoa y Sandía"
"White Bean, Lemon, and Herbed Feta Dip","Dip de Frijoles Blancos, Limón y Feta con Hierbas"
"Whole-Wheat Spinach Parathas","Parathas de Espinaca y Trigo Integral"
"Whole Roasted Cauliflower with Lemon Vinaigrette","Coliflor Entera Asada con Vinagreta de Limón"
"Whole Wheat Breakfast Pizzas","Pizzas de Desayuno de Trigo Integral"
"Whole Wheat Hot Pockets","Hot Pockets de Trigo Integral"
"Whole Wheat Irish Soda Bread","Pan de Soda Irlandés de Trigo Integral"
"Whole Wheat Sweet Potato Pancakes","Panqueques de Batata y Trigo Integral"
"Wild Rice and Cherry Pilaf","Pilaf de Arroz Salvaje y Cereza"
"Wild Rice with Cranberries and Almonds","Arroz Salvaje con Arándanos y Almendras"
"Winter Salad With Champagne Vinaigrette and Pomegranate","Ensalada de Invierno con Vinagreta de Champagne y Granada"
"Winter Salad with Citrus","Ensalada de Invierno con Cítricos"
"Winter Squash with Oat and Walnut Crumble Topping","Calabaza de Invierno con Cobertura de Avena y Nuez"
"Yaya’s Vegetable Paella","Paella de Verduras de Yaya"
"Yogurt Mustard  Dressing","Aderezo de Yogur y Mostaza"
"Zesty Broccolini and Garlic","Broccolini y Ajo con Toque Picante"
"Zippy Cucumber Crunch","Crujiente de Pepino Picante"
"Zucchini and Date Muffins","Muffins de Calabacín y Dátiles"
"Zucchini and Fresh Corn Succotash","Succotash de Calabacín y Maíz Fresco"
"Zucchini Fries","Papas Fritas de Calabacín"
"Zucchini Pizza","Pizza de Calabacín"
"Zucchini With Corn and Peppers","Calabacín con Maíz y Pimientos"
"Zuppa di Ceci (Chickpea Soup)","Zuppa di Ceci (Sopa de Garbanzo)"
